Neighborhood,"Population,              2000","Population,              2010","Total                     change,                    2000-10","Percent                   change,                 2000-10","Share of                total,                2000","Share of                    total,                2010","Density per                         sq mi of              developed land,                   2000","Density per                       sq mi of                       developed land,                            2010","Population, 2020","Share of                    total,                2020","Density per                       sq mi of                       developed land,                            2020","Total change, 2010-20","Percent change, 2010-20"
St. Roch,11975,6632,-5343,-45%,2.50%,1.90%,9552,5192,7485,1.95%,5866,853,0.12861881785283474
St. Thomas Development,2957,2161,-796,-27%,0.60%,0.60%,13326,9409,2295,0.60%,9642,134,0.062008329477093935
Tall Timbers/Brechtel,12177,11906,-271,-2%,2.50%,3.50%,4907,4946,12121,3.16%,3927,215,0.01805812195531665
Touro,3242,2998,-244,-8%,0.70%,0.90%,10750,9868,2859,0.74%,9409,-139,-0.046364242828552366
Treme'/Lafitte,8853,4155,-4698,-53%,1.80%,1.20%,12900,6022,5748,1.50%,8329,1593,0.38339350180505416
Tulane/Gravier,4234,3649,-585,-14%,0.90%,1.10%,5954,5172,3606,0.94%,5113,-43,-0.011784050424773911
U.S. Naval Support Area,2902,2205,-697,-24%,0.60%,0.60%,4019,2932,2070,0.54%,3074,-135,-0.061224489795918366
Uptown,6681,5984,-697,-10%,1.40%,1.70%,10482,9412,5861,1.53%,9218,-123,-0.020554812834224598
Viavant/Venetian Isles,1883,840,-1043,-55%,0.40%,0.20%,271,120,1052,0.27%,37,212,0.2523809523809524
Village de l'est,12912,8008,-4904,-38%,2.70%,2.30%,4551,2810,8901,2.32%,5740,893,0.11151348651348651
West End,4724,3147,-1577,-33%,1.00%,0.90%,6868,4230,4635,1.21%,6636,1488,0.47283126787416585
West Lake Forest,9596,4015,-5581,-58%,2.00%,1.20%,7208,3078,5010,1.30%,3920,995,0.24782067247820672
West Riverside,5232,4747,-485,-9%,1.10%,1.40%,5596,5073,4742,1.23%,4782,-5,-0.0010532968190436064
Whitney,2564,2328,-236,-9%,0.50%,0.70%,4465,3937,2060,0.54%,3565,-268,-0.11512027491408934
Total,484674,343829,-140845,-29%,100.00%,100.00%,6180,4337,383997,-,2266,40168,0.11682551500891432
Lake Catherine/Village de  L'est,NA,NA,NA,NA,NA,NA,NA,NA,1794,0.47%,27,NA,NA
Z-no land mass-all Lake,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00%,NA,NA,NA
